rule_type,child_question,parent_question,parent_value,notes
keep,copect_50_xx19,copect_50_xx18,COPE_A_94,
keep,copect_50_xx19,copect_50_xx19,COPE_A_152,
keep,copect_50_xx19_cope_a_152,copect_50_xx18,COPE_A_94,
keep,copect_50_xx19_cope_a_152,copect_50_xx19,COPE_A_152,
keep,copect_50_xx19_cope_a_57,lifestyle_2_xx12,COPE_A_57,
keep,copect_50_xx19_cope_a_198,lifestyle_2_xx12,COPE_A_198,
keep,copect_50_xx19_cope_a_152,lifestyle_2_xx12,COPE_A_152,
keep,lifestyle_2_xx12,lifestyle_2_xx13,COPE_A_94,
keep,lifestyle_2_xx12_cope_a_57,lifestyle_2_xx12,COPE_A_57,
keep,lifestyle_2_xx12_cope_a_198,lifestyle_2_xx12,COPE_A_198,
keep,lifestyle_2_xx12_cope_a_152,lifestyle_2_xx12,COPE_A_152,
keep,audit_c_2,audit_c_1,COPE_A_125,
keep,audit_c_2,audit_c_1,COPE_A_167,
keep,audit_c_2,audit_c_1,COPE_A_89,
keep,audit_c_2,audit_c_1,COPE_A_16,
keep,audit_c_3,audit_c_2,COPE_A_51,
keep,audit_c_3,audit_c_2,COPE_A_172,
keep,audit_c_3,audit_c_2,COPE_A_6,
keep,tsu_ds5_13_xx3,tsu_ds5_13_xx,COPE_A_214,
keep,tsu_ds5_13_xx20,tsu_ds5_13_xx,COPE_A_214,
keep,tsu_ds5_13_xx21,tsu_ds5_13_xx,COPE_A_214,
keep,tsu_ds5_13_xx7,tsu_ds5_13_xx,COPE_A_215,
keep,tsu_ds5_13_xx22,tsu_ds5_13_xx,COPE_A_215,
keep,tsu_ds5_13_xx23,tsu_ds5_13_xx,COPE_A_215,
keep,tsu_ds5_13_xx9,tsu_ds5_13_xx,COPE_A_216,
keep,tsu_ds5_13_xx24,tsu_ds5_13_xx,COPE_A_216,
keep,tsu_ds5_13_xx25,tsu_ds5_13_xx,COPE_A_216,
keep,tsu_ds5_13_xx11,tsu_ds5_13_xx,COPE_A_217,
keep,tsu_ds5_13_xx26,tsu_ds5_13_xx,COPE_A_217,
keep,tsu_ds5_13_xx27,tsu_ds5_13_xx,COPE_A_217,
keep,tsu_ds5_13_xx6,tsu_ds5_13_xx,COPE_A_218,
keep,tsu_ds5_13_xx28,tsu_ds5_13_xx,COPE_A_218,
keep,tsu_ds5_13_xx29,tsu_ds5_13_xx,COPE_A_218,
keep,tsu_ds5_13_xx4,tsu_ds5_13_xx,COPE_A_219,
keep,tsu_ds5_13_xx30,tsu_ds5_13_xx,COPE_A_219,
keep,tsu_ds5_13_xx31,tsu_ds5_13_xx,COPE_A_219,
keep,tsu_ds5_13_xx5,tsu_ds5_13_xx,COPE_A_220,
keep,tsu_ds5_13_xx32,tsu_ds5_13_xx,COPE_A_220,
keep,tsu_ds5_13_xx8,tsu_ds5_13_xx,COPE_A_221,
keep,tsu_ds5_13_xx33,tsu_ds5_13_xx,COPE_A_221,
keep,tsu_ds5_13_xx34,tsu_ds5_13_xx,COPE_A_221,
keep,tsu_ds5_13_xx10,tsu_ds5_13_xx,COPE_A_222,
keep,tsu_ds5_13_xx35,tsu_ds5_13_xx,COPE_A_222,
keep,tsu_ds5_13_xx36,tsu_ds5_13_xx,COPE_A_222,
keep,tsu_ds5_13_xx2,tsu_ds5_13_xx,COPE_A_223,
keep,tsu_ds5_13_xx37,tsu_ds5_13_xx,COPE_A_223,
keep,tsu_ds5_13_xx38,tsu_ds5_13_xx,COPE_A_223,
keep,tsu_ds5_13_xx1,tsu_ds5_13_xx,COPE_A_224,
keep,tsu_ds5_13_xx39,tsu_ds5_13_xx,COPE_A_224,
keep,tsu_ds5_13_xx40,tsu_ds5_13_xx,COPE_A_224,
keep,tsu_ds5_13_xx41,tsu_ds5_13_xx,COPE_A_224,
keep,tsu_ds5_13_xx42_cope_a_226,tsu_ds5_13_xx,COPE_A_226,
keep,tsu_ds5_13_xx42_cope_a_226_2,tsu_ds5_13_xx,COPE_A_226,
keep,tsu_ds5_13_xx43,tsu_ds5_13_xx,COPE_A_226,
keep,tsu_ds5_13_xx44,tsu_ds5_13_xx,COPE_A_226,
keep,eds_follow_up_1,eds_9,COPE_A_84,
keep,eds_follow_up_1,eds_9,COPE_A_62,
keep,eds_follow_up_1,eds_9,COPE_A_113,
keep,eds_follow_up_1,eds_8,COPE_A_84,
keep,eds_follow_up_1,eds_8,COPE_A_62,
keep,eds_follow_up_1,eds_8,COPE_A_113,
keep,eds_follow_up_1,eds_7,COPE_A_84,
keep,eds_follow_up_1,eds_7,COPE_A_62,
keep,eds_follow_up_1,eds_7,COPE_A_113,
keep,eds_follow_up_1,eds_6,COPE_A_84,
keep,eds_follow_up_1,eds_6,COPE_A_62,
keep,eds_follow_up_1,eds_6,COPE_A_113,
keep,eds_follow_up_1,eds_5,COPE_A_84,
keep,eds_follow_up_1,eds_5,COPE_A_62,
keep,eds_follow_up_1,eds_5,COPE_A_113,
keep,eds_follow_up_1,eds_4,COPE_A_84,
keep,eds_follow_up_1,eds_4,COPE_A_62,
keep,eds_follow_up_1,eds_4,COPE_A_113,
keep,eds_follow_up_1,eds_3,COPE_A_84,
keep,eds_follow_up_1,eds_3,COPE_A_62,
keep,eds_follow_up_1,eds_3,COPE_A_113,
keep,eds_follow_up_1,eds_2,COPE_A_84,
keep,eds_follow_up_1,eds_2,COPE_A_62,
keep,eds_follow_up_1,eds_2,COPE_A_113,
keep,eds_follow_up_1,eds_1,COPE_A_84,
keep,eds_follow_up_1,eds_1,COPE_A_62,
keep,eds_follow_up_1,eds_1,COPE_A_113,
keep,eds_follow_up_1_xx,eds_follow_up_1,COPE_A_226,
