table_name,column_name,data_type,is_nullable,is_suppressed,rule
person,gender_concept_id,INT64,NO,,DC-1368
person,race_concept_id,INT64,NO,,DC-1368
person,ethnicity_concept_id,INT64,NO,,DC-1368
person,gender_source_concept_id,INT64,YES,,DC-1368
person,race_source_concept_id,INT64,YES,,DC-1368
person,ethnicity_source_concept_id,INT64,YES,,DC-1368
drug_cost,currency_concept_id,INT64,YES,,DC-1368
cohort_attribute,value_as_concept_id,INT64,YES,,DC-1368
procedure_occurrence,procedure_concept_id,INT64,NO,,DC-1368
procedure_occurrence,procedure_type_concept_id,INT64,NO,,DC-1368
procedure_occurrence,modifier_concept_id,INT64,YES,,DC-1368
procedure_occurrence,procedure_source_concept_id,INT64,YES,,DC-1368
care_site,place_of_service_concept_id,INT64,YES,,DC-1368
specimen,specimen_concept_id,INT64,NO,,DC-1368
specimen,specimen_type_concept_id,INT64,NO,,DC-1368
specimen,unit_concept_id,INT64,YES,,DC-1368
specimen,anatomic_site_concept_id,INT64,YES,,DC-1368
specimen,disease_status_concept_id,INT64,YES,,DC-1368
death,death_type_concept_id,INT64,NO,,DC-1368
death,cause_concept_id,INT64,YES,,DC-1368
death,cause_source_concept_id,INT64,YES,,DC-1368
device_exposure,device_concept_id,INT64,NO,,DC-1368
device_exposure,device_type_concept_id,INT64,NO,,DC-1368
device_exposure,device_source_concept_id,INT64,YES,,DC-1368
device_cost,currency_concept_id,INT64,YES,,DC-1368
condition_occurrence,condition_concept_id,INT64,NO,,DC-1368
condition_occurrence,condition_type_concept_id,INT64,NO,,DC-1368
condition_occurrence,condition_source_concept_id,INT64,YES,,DC-1368
condition_occurrence,condition_status_concept_id,INT64,YES,,DC-1368
cohort_definition,definition_type_concept_id,INT64,NO,,DC-1368
cohort_definition,subject_concept_id,INT64,NO,,DC-1368
attribute_definition,attribute_type_concept_id,INT64,NO,,DC-1368
drug_exposure,drug_concept_id,INT64,NO,,DC-1368
drug_exposure,drug_type_concept_id,INT64,NO,,DC-1368
drug_exposure,route_concept_id,INT64,YES,,DC-1368
drug_exposure,drug_source_concept_id,INT64,YES,,DC-1368
note,note_type_concept_id,INT64,NO,,DC-1368
note,note_class_concept_id,INT64,NO,,DC-1368
note,encoding_concept_id,INT64,NO,,DC-1368
note,language_concept_id,INT64,NO,,DC-1368
cost,cost_type_concept_id,INT64,NO,,DC-1368
cost,currency_concept_id,INT64,YES,,DC-1368
cost,revenue_code_concept_id,INT64,YES,,DC-1368
dose_era,drug_concept_id,INT64,NO,,DC-1368
dose_era,unit_concept_id,INT64,NO,,DC-1368
observation,observation_concept_id,INT64,NO,,DC-1382
observation,observation_type_concept_id,INT64,NO,,DC-1382
observation,value_as_concept_id,INT64,YES,,DC-1382
observation,qualifier_concept_id,INT64,YES,,DC-1382
observation,unit_concept_id,INT64,YES,,DC-1382
observation,observation_source_concept_id,INT64,YES,,DC-1382
observation,value_source_concept_id,INT64,YES,,DC-1382
drug_era,drug_concept_id,INT64,NO,,DC-1382
fact_relationship,relationship_concept_id,INT64,NO,,DC-1382
observation_period,period_type_concept_id,INT64,NO,,DC-1382
procedure_cost,currency_concept_id,INT64,YES,,DC-1382
procedure_cost,revenue_code_concept_id,INT64,YES,,DC-1382
visit_occurrence,visit_concept_id,INT64,NO,,DC-1382
visit_occurrence,visit_type_concept_id,INT64,NO,,DC-1382
visit_occurrence,visit_source_concept_id,INT64,YES,,DC-1382
visit_occurrence,admitting_source_concept_id,INT64,YES,,DC-1382
visit_occurrence,discharge_to_concept_id,INT64,YES,,DC-1382
drug_strength,drug_concept_id,INT64,NO,,DC-1382
drug_strength,ingredient_concept_id,INT64,NO,,DC-1382
drug_strength,amount_unit_concept_id,INT64,YES,,DC-1382
drug_strength,numerator_unit_concept_id,INT64,YES,,DC-1382
drug_strength,denominator_unit_concept_id,INT64,YES,,DC-1382
condition_era,condition_concept_id,INT64,NO,,DC-1382
measurement,measurement_concept_id,INT64,NO,,DC-1382
measurement,measurement_type_concept_id,INT64,NO,,DC-1382
measurement,operator_concept_id,INT64,YES,,DC-1382
measurement,value_as_concept_id,INT64,YES,,DC-1382
measurement,unit_concept_id,INT64,YES,,DC-1382
measurement,measurement_source_concept_id,INT64,YES,,DC-1382
visit_cost,currency_concept_id,INT64,YES,,DC-1382
domain,domain_concept_id,INT64,NO,,DC-1382
provider,specialty_concept_id,INT64,YES,,DC-1382
provider,gender_concept_id,INT64,YES,,DC-1382
provider,specialty_source_concept_id,INT64,YES,,DC-1382
provider,gender_source_concept_id,INT64,YES,,DC-1382
person,gender_concept_id,INT64,NO,,DC-1382
person,race_concept_id,INT64,NO,,DC-1382
person,ethnicity_concept_id,INT64,NO,,DC-1382
person,gender_source_concept_id,INT64,YES,,DC-1382
person,race_source_concept_id,INT64,YES,,DC-1382
person,ethnicity_source_concept_id,INT64,YES,,DC-1382
drug_cost,currency_concept_id,INT64,YES,,DC-1382
cohort_attribute,value_as_concept_id,INT64,YES,,DC-1382
procedure_occurrence,procedure_concept_id,INT64,NO,,DC-1382
procedure_occurrence,procedure_type_concept_id,INT64,NO,,DC-1382
procedure_occurrence,modifier_concept_id,INT64,YES,,DC-1382
procedure_occurrence,procedure_source_concept_id,INT64,YES,,DC-1382
care_site,place_of_service_concept_id,INT64,YES,,DC-1382
specimen,specimen_concept_id,INT64,NO,,DC-1382
specimen,specimen_type_concept_id,INT64,NO,,DC-1382
specimen,unit_concept_id,INT64,YES,,DC-1382
specimen,anatomic_site_concept_id,INT64,YES,,DC-1382
specimen,disease_status_concept_id,INT64,YES,,DC-1382
death,death_type_concept_id,INT64,NO,,DC-1382
death,cause_concept_id,INT64,YES,,DC-1382
death,cause_source_concept_id,INT64,YES,,DC-1382
device_exposure,device_concept_id,INT64,NO,,DC-1382
device_exposure,device_type_concept_id,INT64,NO,,DC-1382
device_exposure,device_source_concept_id,INT64,YES,,DC-1382
device_cost,currency_concept_id,INT64,YES,,DC-1382
condition_occurrence,condition_concept_id,INT64,NO,,DC-1382
condition_occurrence,condition_type_concept_id,INT64,NO,,DC-1382
condition_occurrence,condition_source_concept_id,INT64,YES,,DC-1382
condition_occurrence,condition_status_concept_id,INT64,YES,,DC-1382
cohort_definition,definition_type_concept_id,INT64,NO,,DC-1382
cohort_definition,subject_concept_id,INT64,NO,,DC-1382
attribute_definition,attribute_type_concept_id,INT64,NO,,DC-1382
drug_exposure,drug_concept_id,INT64,NO,,DC-1382
drug_exposure,drug_type_concept_id,INT64,NO,,DC-1382
drug_exposure,route_concept_id,INT64,YES,,DC-1382
drug_exposure,drug_source_concept_id,INT64,YES,,DC-1382
note,note_type_concept_id,INT64,NO,,DC-1382
note,note_class_concept_id,INT64,NO,,DC-1382
note,encoding_concept_id,INT64,NO,,DC-1382
note,language_concept_id,INT64,NO,,DC-1382
cost,cost_type_concept_id,INT64,NO,,DC-1382
cost,currency_concept_id,INT64,YES,,DC-1382
cost,revenue_code_concept_id,INT64,YES,,DC-1382
dose_era,drug_concept_id,INT64,NO,,DC-1382
dose_era,unit_concept_id,INT64,NO,,DC-1382
observation,observation_concept_id,INT64,NO,,DC-1388
observation,observation_type_concept_id,INT64,NO,,DC-1388
observation,value_as_concept_id,INT64,YES,,DC-1388
observation,qualifier_concept_id,INT64,YES,,DC-1388
observation,unit_concept_id,INT64,YES,,DC-1388
observation,observation_source_concept_id,INT64,YES,,DC-1388
observation,value_source_concept_id,INT64,YES,,DC-1388
observation,observation_concept_id,INT64,NO,,DC-1535
observation,observation_source_concept_id,INT64,YES,,DC-1535
