concept_id,concept_name,concept_code,privacy_rule,vocabulary_id,date_added
35211010,"Pseudohermaphroditism, unspecified",Q56.3,Gender/Sex,ICD10CM,1994
44823803,Supervision of high-risk pregnancy with elderly multigravida,V23.82,Perinatal (including birth trauma),ICD9CM,1994
44837804,Observation and evaluation of newborn for suspected respiratory condition,V29.2,Liveborn infants,ICD9CM,1994
37312440,Lower uterine segment cesarean section,788180009,Perinatal (including birth trauma),SNOMED,1994
44828517,Supervision of other high-risk pregnancy,V23.89,Perinatal (including birth trauma),ICD9CM,1994
44833176,"Twin gestation, monochorionic/monoamniotic (one placenta, one amniotic sac)",V91.01,Perinatal (including birth trauma),ICD9CM,1994
596879,Please specify tissue.,othertissue_freetextbox,Free Text,PPI,1994
4210749,victim of sexual aggression,56890008,Assault/Homicide,SNOMED,1994
44820410,Antenatal screening for fetal growth retardation using ultrasonics,V28.4,Perinatal (including birth trauma),ICD9CM,1994
44837801,Other antenatal screening based on amniocentesis,V28.2,Perinatal (including birth trauma),ICD9CM,1994
44821530,Pregnancy with history of pre-term labor,V23.41,Perinatal (including birth trauma),ICD9CM,1994
4338512,gender identity disorder,87991007,Gender/Sex,SNOMED,1994
35207228,"gender identity disorder, unspecified",F64.9,Gender/Sex,ICD10CM,1994
44822621,suicide and self-inflicted injury by crashing of motor vehicle,E958.5,Suicide,ICD9CM,1994
44820411,Encounter for fetal anatomic survey,V28.81,Perinatal (including birth trauma),ICD9CM,1994
37200330,transsexualism,F64.0,Gender/Sex,ICD10CM,1994
44826172,Pregnancy with inconclusive fetal viability,V23.87,Perinatal (including birth trauma),ICD9CM,1994
44823813,Encounter for routine screening for malformation using ultrasonics,V28.3,Perinatal (including birth trauma),ICD9CM,1994
44823863,Counseling for parent-adopted child problem,V61.24,,ICD9CM,1994
35207226,gender identity disorder of childhood,F64.2,Gender/Sex,ICD10CM,1994
44837850,Family disruption due to child in welfare custody,V61.05,Legal Intervention,ICD9CM,1994
44821603,observation and evaluation for suspected abuse and neglect,V71.81,Assault/Homicide,ICD9CM,1994
44837886,Other suspected maternal and fetal condition not found,V89.09,Perinatal (including birth trauma),ICD9CM,1994
44821263,Apparent life threatening event in infant,799.82,Liveborn infants,ICD9CM,1994
35207225,dual role transvestism,F64.1,Gender/Sex,ICD10CM,1994
1333016,What type of household do you live in?,cu_covid,Free Text,PPI,1994
44823801,"Low birth weight status, 1000-1499 grams",V21.33,Liveborn infants,ICD9CM,1994
44837786,"Pregnant state, incidental",V22.2,Perinatal (including birth trauma),ICD9CM,1994
44837802,Unspecified antenatal screening,V28.9,Perinatal (including birth trauma),ICD9CM,1994
44830763,"Low birth weight status, 2000-2500 grams",V21.35,Liveborn infants,ICD9CM,1994
44826180,Antenatal screening for Streptococcus B,V28.6,Perinatal (including birth trauma),ICD9CM,1994
44823916,Suspected problem with fetal growth not found,V89.04,Perinatal (including birth trauma),ICD9CM,1994
44820399,Supervision of high-risk pregnancy with other poor reproductive history,V23.5,Perinatal (including birth trauma),ICD9CM,1994
44837871,Maternal postnatal screening for chromosomal anomalies,V82.4,Liveborn infants,ICD9CM,1994
44823920,"Twin gestation, dichorionic/diamniotic (two placentae, two amniotic sacs)",V91.03,Perinatal (including birth trauma),ICD9CM,1994
44820409,Antenatal screening for chromosomal anomalies by amniocentesis,V28.0,Perinatal (including birth trauma),ICD9CM,1994
4246663,gender dysphoria,93461009,Gender/Sex,SNOMED,1994
4323227,history of intersex surgery,428405009,Gender/Sex,SNOMED,1994
44823861,person living alone,V60.3,Living situation,ICD9CM,1994
