concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
1224633,0.5 ML modified Vaccinia Ankara-Bavarian Nordic 198000000 UNT/ML Injection [Jynneos],Drug,NDC,11-digit NDC,,50632000102,2020-12-01,2099-12-31,
1396491,"smallpox vaccine live, New York City Board of Health vaccinia strain 500000000 UNT/ML",Drug,RxNorm,Clinical Drug Comp,S,2170514,2019-07-01,2099-12-31,
1396492,"smallpox vaccine live, New York City Board of Health vaccinia strain Injectable Solution",Drug,RxNorm,Clinical Drug Form,S,2170515,2019-07-01,2099-12-31,
1396493,"smallpox vaccine live, New York City Board of Health vaccinia strain 500000000 UNT/ML [ACAM2000]",Drug,RxNorm,Branded Drug Comp,S,2170517,2019-07-01,2099-12-31,
1396494,"smallpox vaccine live, New York City Board of Health vaccinia strain Injectable Solution [ACAM2000]",Drug,RxNorm,Branded Drug Form,S,2170518,2019-07-01,2099-12-31,
1985751,"vaccinia virus modified strain ankara-bavarian nordic non-replicating antigen 500000001/.5mL SUBCUTANEOUS INJECTION, SUSPENSION",Drug,NDC,9-digit NDC,,506320001,2021-03-17,2099-12-31,
4352694,Monkeypox,Drug,NDFRT,Ind / CI,,N0000010966,1970-01-01,2099-12-31,
19030120,"smallpox vaccine live, New York City Board of Health vaccinia strain",Drug,RxNorm,Ingredient,S,798467,2008-06-29,2099-12-31,
19082103,Injectable Solution,Drug,RxNorm,Dose Form,,316949,1970-01-01,2099-12-31,
19133773,smallpox vaccine live vaccinia virus,Drug,RxNorm,Ingredient,,833079,2009-03-01,2019-06-30,D
19133774,smallpox vaccine live vaccinia virus 500000000 UNT/ML,Drug,RxNorm,Clinical Drug Comp,,833080,2009-03-01,2019-06-30,D
19133775,"smallpox vaccine live, New York City Board of Health vaccinia strain 500000000 UNT/ML Injectable Solution",Drug,RxNorm,Clinical Drug,S,833082,2009-03-01,2099-12-31,
19133776,ACAM2000,Drug,RxNorm,Brand Name,,833083,2009-03-01,2099-12-31,
19133777,smallpox vaccine live vaccinia virus 500000000 UNT/ML [ACAM2000],Drug,RxNorm,Branded Drug Comp,,833084,2009-03-01,2019-06-30,D
19133778,"smallpox vaccine live, New York City Board of Health vaccinia strain 500000000 UNT/ML Injectable Solution [ACAM2000]",Drug,RxNorm,Branded Drug,S,833086,2009-03-01,2099-12-31,
35509170,"ACAM2000 - smallpox (vaccinia) vaccine, live injection, powder, lyophilized, for solution",Drug,SPL,Vaccine,C,f8b2634b-ccd7-4a42-8db3-26ba9e9627e6,2018-03-21,2099-12-31,
35520595,"smallpox vaccine live, New York City Board of Health vaccinia strain 500000000 UNT/ML Injectable Solution [ACAM2000]",Drug,NDC,11-digit NDC,,71665033001,2018-11-01,2099-12-31,
35520596,"smallpox vaccine live, New York City Board of Health vaccinia strain 500000000 UNT/ML Injectable Solution [ACAM2000]",Drug,NDC,11-digit NDC,,71665033002,2018-11-01,2099-12-31,
35524233,"smallpox (vaccinia) vaccine, live 100000000[PFU]/mL PERCUTANEOUS INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",Drug,NDC,9-digit NDC,,716650330,2007-08-31,2099-12-31,
35603384,vaccinia virus,Drug,RxNorm,Ingredient,S,1668221,2016-05-02,2099-12-31,
35803058,Factor IX recombinant Fc fusion protein,Drug,HemOnc,Component,,206,2019-05-27,2099-12-31,
36217210,Injectable Product,Drug,RxNorm,Dose Form Group,C,1151126,2016-08-01,2099-12-31,
36221505,ACAM2000 Injectable Product,Drug,RxNorm,Branded Dose Group,C,1165898,2016-08-01,2099-12-31,
36224407,smallpox vaccine live vaccinia virus Injectable Product,Drug,RxNorm,Clinical Dose Group,,1159666,2016-08-01,2019-06-30,D
36225222,"smallpox vaccine live, New York City Board of Health vaccinia strain Injectable Product",Drug,RxNorm,Clinical Dose Group,C,1158766,2016-08-01,2099-12-31,
37003258,modified Vaccinia Ankara-Bavarian Nordic 198000000 UNT/ML,Drug,RxNorm,Clinical Drug Comp,S,2464824,2021-01-04,2099-12-31,
37003259,vaccinia virus Injectable Product,Drug,RxNorm,Clinical Dose Group,C,2464825,2021-01-04,2099-12-31,
37003260,vaccinia virus Injection,Drug,RxNorm,Clinical Drug Form,S,2464826,2021-01-04,2099-12-31,
37003262,modified Vaccinia Ankara-Bavarian Nordic 198000000 UNT/ML [Jynneos],Drug,RxNorm,Branded Drug Comp,S,2464829,2021-01-04,2099-12-31,
37003263,vaccinia virus Injection [Jynneos],Drug,RxNorm,Branded Drug Form,S,2464830,2021-01-04,2099-12-31,
37003264,Jynneos Injectable Product,Drug,RxNorm,Branded Dose Group,C,2464831,2021-01-04,2099-12-31,
37003265,modified Vaccinia Ankara-Bavarian Nordic 198000000 UNT/ML Injection,Drug,RxNorm,Clinical Drug,S,2464833,2021-01-04,2099-12-31,
37003266,modified Vaccinia Ankara-Bavarian Nordic 198000000 UNT/ML Injection [Jynneos],Drug,RxNorm,Branded Drug,S,2464834,2021-01-04,2099-12-31,
37003638,0.5 ML modified Vaccinia Ankara-Bavarian Nordic 198000000 UNT/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,2464827,2021-01-04,2099-12-31,
37003639,0.5 ML modified Vaccinia Ankara-Bavarian Nordic 198000000 UNT/ML Injection [Jynneos],Drug,RxNorm,Quant Branded Drug,S,2464832,2021-01-04,2099-12-31,
40157874,smallpox vaccine live vaccinia virus Injectable Solution,Drug,RxNorm,Clinical Drug Form,,833081,2009-03-01,2019-06-30,D
40157875,smallpox vaccine live vaccinia virus Injectable Solution [ACAM2000],Drug,RxNorm,Branded Drug Form,,833085,2009-03-01,2019-06-30,D
45410172,ethinyl estradiol-norgestimate 35 mcg-0.25 mg oral tablet,Drug,Multum,Multum,,206,1970-01-01,2099-12-31,
41948397,Les Villettes,Geography,OSM,8th level,S,138403,1970-01-01,2099-12-31,
41956720,Romelfing,Geography,OSM,8th level,S,1159666,1970-01-01,2099-12-31,
35949560,ADAM28 (ADAM metallopeptidase domain 28) gene variant measurement,Measurement,OMOP Genomic,Genetic Variation,S,206,1999-07-29,2099-12-31,
3255802,Monkeypox virus,Observation,Nebraska Lexicon,Organism,,59774002,2002-01-31,2099-12-31,
4245290,Monkeypox virus,Observation,SNOMED,Organism,S,59774002,2002-01-31,2099-12-31,
38000504,"Disorders of Liver Except Malignancy, Cirrhosis, Alcoholic Hepatitis without Complications, Comorbidities",Observation,DRG,DRG,,206,1994-10-01,2007-09-30,D
38001052,Other respiratory system diagnoses w/o MCC,Observation,DRG,MS-DRG,S,206,2007-10-01,2099-12-31,
2789560,"Imaging, Central Nervous System, Ultrasonography",Procedure,ICD10PCS,ICD10PCS Hierarchy,S,B04,1970-01-01,2099-12-31,
